column	Domain	Topic	Variable_Label	Data_Source	class	nn	uniquevals	isnum	frc_int	n_nonmissing	n_missing	frc_missing	n_nonrepeat	frc_nonrepeat	top3	frc_mostcommon	md5	c_empty	c_uninformative	c_ordinal	c_tm	c_tf	c_numeric	c_factor	c_safe	c_safetf	c_safenumeric	c_complex	c_reistetter	c_schmidt	c_lin	c_notin2013	c_domainexpert	c_pct	c_total	c_byarea	c_per1k	c_median	c_medianhh	c_meanhh	c_percap	c_factorarea	c_SDI	c_ADI	c_AHRQsocial	c_AHRQecon	c_AHRQedu	c_AHRQphysinfr	c_AHRQhealth	c_AHRQgeo	c_NotAlwaysAvailable
ACS_PCT_FOREIGN_BORN	1. Social context	1. Demographics – population distribution	Percentage of population that is foreign-born	ACS	numeric	1711	1702	TRUE	0.002922267679719	1711	0	0	1693	0.98947983635301	"""0""; ""13.86""; ""29.532"""	0.001168907071888	c876c6e38fb603d4f6bf405be870ed6c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_CTZ_US_BORN	1. Social context	1. Demographics – population distribution	Percentage of population consisting of U.S. citizens born in United States, Puerto Rico, or U.S. Islands 	ACS	numeric	1711	1711	TRUE	0.002337814143776	1711	0	0	1711	1	"""150.019""; ""159.949""; ""163.684"""	0.000584453535944	35badd3d708e8104fadfec17eec3527b	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_CTZ_NONUS_BORN	1. Social context	1. Demographics – population distribution	Percentage of population consisting of U.S. citizens born abroad of American parents or naturalized	ACS	numeric	1711	1695	TRUE	0.001753360607832	1711	0	0	1679	0.981297486849795	"""0""; ""3.673""; ""4.371"""	0.001168907071888	4b4457932a5e1af76dc371305c7139c6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_NON_CITIZEN	1. Social context	1. Demographics – population distribution	Percentage of population who are not U.S. citizens	ACS	numeric	1711	1704	TRUE	0.002922267679719	1711	0	0	1698	0.99240210403273	"""0""; ""8.002""; ""10.748"""	0.001753360607832	e9d51bf8c4f119fde35ab49e0befa0fa	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_NONCTN_1990	1. Social context	1. Demographics – population distribution	Percentage of population who are not U.S. citizens and entered U.S. before 1990	ACS	numeric	1711	1590	TRUE	0.0239625949737	1711	0	0	1510	0.882524839275278	"""0""; ""1.047""; ""3.967"""	0.023378141437756	7009128c8c44ddae1fe36d0791b775d6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_NONCTN_2010	1. Social context	1. Demographics – population distribution	Percentage of population who are not U.S. citizens and entered U.S. since 2010	ACS	numeric	1711	1456	TRUE	0.064874342489772	1711	0	0	1326	0.774985388661601	"""0""; ""1.324""; ""0.059"""	0.064289888953828	9912935e4d15f8789ecf387c7c8a2375	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_VA	1. Social context	1. Demographics – population distribution	Percentage of the civilian population consisting of veterans (ages 18 and over)	ACS	numeric	1711	1705	TRUE	0.003506721215663	1711	0	0	1699	0.992986557568673	"""63.683""; ""106.185""; ""119"""	0.001168907071888	f4735eea6f434f76318ee2e75952703f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_GULFWAR_2001	1. Social context	1. Demographics – population distribution	Percentage of the civilian veteran population that served during the Gulf War period from September 2001 or later (ages 18 and over)	ACS	numeric	1711	1699	TRUE	0.009935710111046	1711	0	0	1695	0.990648743424898	"""0""; ""9.036""; ""93.056"""	0.005844535359439	845b1ce8252b3bfbda7cddc69942ac98	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_GULFWAR_1990	1. Social context	1. Demographics – population distribution	Percentage of the civilian veteran population that served during the Gulf War period from August 1990 to August 2001 (ages 18 and over)	ACS	numeric	1711	1702	TRUE	0.003506721215663	1711	0	0	1695	0.990648743424898	"""0""; ""56.846""; ""59.945"""	0.002337814143776	12e142c2e88140a5920d7d9340460b09	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_65UP	1. Social context	2. Age	Percentage of population age 65 and over	ACS	numeric	1711	1709	TRUE	0.001168907071888	1711	0	0	1707	0.997662185856225	"""148.318""; ""224.134""; ""16.685"""	0.001168907071888	c54f82c1bfc95e51d3708b20a93cc444	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_AGE_0_17	1. Social context	2. Age	Percentage of population age 0–17 	ACS	numeric	1711	1707	TRUE	0	1711	0	0	1703	0.995324371712449	"""80.238""; ""130.019""; ""312.844"""	0.001168907071888	d5762c2db9771f95739faf7829cd6a5c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_15_17	1. Social context	2. Age	Percentage of population age 15–17	ACS	numeric	1711	1688	TRUE	0.001753360607832	1711	0	0	1665	0.973115137346581	"""17.687""; ""18.115""; ""34.476"""	0.001168907071888	2abb500ce493ea4e58ce2f0685c01bf2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_0_4	1. Social context	2. Age	Percentage of population age 0–4	ACS	numeric	1711	1703	TRUE	0.002922267679719	1711	0	0	1695	0.990648743424898	"""25.67""; ""42.574""; ""52.494"""	0.001168907071888	8a6f3120aba5ac40cffa8d5756cce2a2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_5_9	1. Social context	2. Age	Percentage of population age 5–9	ACS	numeric	1711	1704	TRUE	0.001168907071888	1711	0	0	1697	0.991817650496785	"""33.278""; ""55.548""; ""64.467"""	0.001168907071888	560e3a2ca3a54a76419e3b68182c8973	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_10_14	1. Social context	2. Age	Percentage of population age 10–14	ACS	numeric	1711	1707	TRUE	0.000584453535944	1711	0	0	1703	0.995324371712449	"""51.474""; ""61.267""; ""79.073"""	0.001168907071888	015a45754ae20fcad8e9212049071ccf	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_18_44	1. Social context	2. Age	Percentage of population age 18–44	ACS	numeric	1711	1711	TRUE	0.001168907071888	1711	0	0	1711	1	"""43.647""; ""47.881""; ""48.867"""	0.000584453535944	c075e5352f3aee546d6ecdc8c220fe5b	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_45_64	1. Social context	2. Age	Percentage of population age 45–64	ACS	numeric	1711	1708	TRUE	0	1711	0	0	1705	0.996493278784337	"""196.359""; ""208.616""; ""358.43"""	0.001168907071888	c5863099088506168361228bd2d5ad6e	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_AGE_80UP	1. Social context	2. Age	Percentage of population age 80 and over	ACS	numeric	1711	1702	TRUE	0.001753360607832	1711	0	0	1693	0.98947983635301	"""6.307""; ""9.72""; ""26.374"""	0.001168907071888	70c53778568a5f58d38981b4941acc1d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_MEDIAN_AGE	1. Social context	2. Age	Median age	ACS	numeric	1711	1610	TRUE	0.092928112215079	1711	0	0	1517	0.886616014026885	"""199.1""; ""239""; ""242.9"""	0.001753360607832	c6a25686169863d8967079472b2fd622	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE										TRUE							TRUE						
ACS_PCT_WHITE	1. Social context	3. Race/ethnicity	Percentage of population reporting White race	ACS	numeric	1711	1711	TRUE	0.002337814143776	1711	0	0	1711	1	"""81.375""; ""98.885""; ""119.843"""	0.000584453535944	23a2fc9afb9b1a8b7c389112638a6050	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_BLACK	1. Social context	3. Race/ethnicity	Percentage of population reporting Black race	ACS	numeric	1711	1696	TRUE	0.007013442431327	1711	0	0	1689	0.987142022209234	"""0""; ""0.46""; ""2.8"""	0.005844535359439	0f3158be9d74ff28145b09a03b03bfa2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_AIAN	1. Social context	3. Race/ethnicity	Percentage of population reporting American Indian/Alaska Native race	ACS	numeric	1711	1624	TRUE	0.015780245470485	1711	0	0	1565	0.914669783752192	"""0""; ""0.156""; ""0.161"""	0.015195791934541	c594c5586769f67fea7fc73386f83c54	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_ASIAN	1. Social context	3. Race/ethnicity	Percentage of population reporting Asian race	ACS	numeric	1711	1669	TRUE	0.009935710111046	1711	0	0	1642	0.959672706019871	"""0""; ""0.481""; ""0.854"""	0.009351256575102	29d2f5d5bde8f3ae40abb5ef95e17d05	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_NHPI	1. Social context	3. Race/ethnicity	Percentage of population reporting Native Hawaiian/Pacific Islander race	ACS	numeric	1711	1029	TRUE	0.225014611338399	1711	0	0	827	0.483343074225599	"""0""; ""0.06""; ""0.052"""	0.225014611338399	b0059661df717e0df72dac2f3b0431f6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_MULT_RACE	1. Social context	3. Race/ethnicity	Percentage of population reporting multiple races	ACS	numeric	1711	1699	TRUE	0.002337814143776	1711	0	0	1687	0.985973115137346	"""7.466""; ""7.828""; ""10.58"""	0.001168907071888	19b8f4db646923c2b906e756ebb83e63	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_HISPAN	1. Social context	3. Race/ethnicity	Percentage of population reporting Hispanic ethnicity	ACS	numeric	1711	1703	TRUE	0.001753360607832	1711	0	0	1695	0.990648743424898	"""0""; ""6.979""; ""12.736"""	0.001168907071888	d4be1da8851a07f0b691e8092ef3426c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_DISABLE	1. Social context	4. Social Vulnerability Index	Percentage of population with a disability	ACS	numeric	1711	1709	TRUE	0.000584453535944	1711	0	0	1707	0.997662185856225	"""58.375""; ""132.816""; ""19.149"""	0.001168907071888	a87401349f507454c56f3d8957519429	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_VA_DISABLE	1. Social context	4. Social Vulnerability Index	Percentage of civilian veterans with a disability (ages 18–64)	ACS	numeric	1711	1710	TRUE	0.002922267679719	1711	0	0	1709	0.998831092928112	"""46.719""; ""0""; ""9.272"""	0.001168907071888	484c110eaa9d20d918e6b5f964b4da8f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_NONVA_DISABLE	1. Social context	4. Social Vulnerability Index	Percentage of nonveterans with a disability (ages 18-64)	ACS	numeric	1711	1707	TRUE	0.000584453535944	1711	0	0	1703	0.995324371712449	"""24.59""; ""52.042""; ""189.21"""	0.001168907071888	1da58eeefd1b77773698f2f5d1ed990d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_LIMIT_ENGLISH	1. Social context	1. Demographics – population distribution	Percentage of households with limited English speaking	ACS	numeric	1711	1660	TRUE	0.018702513150205	1711	0	0	1636	0.956165984804208	"""0""; ""8.764""; ""0.354"""	0.016364699006429	7755f94387c059a544874420d5df16bb	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_ENGL_VERY_WELL	1. Social context	1. Demographics – population distribution	Percentage of population that speaks English very well (ages 5 and over)	ACS	numeric	1711	1706	TRUE	0.001168907071888	1711	0	0	1701	0.994155464640561	"""12.261""; ""25.613""; ""41.574"""	0.001168907071888	10ab11e753962e0fb92915869fa572bc	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_ENGL_WELL	1. Social context	1. Demographics – population distribution	Percentage of population that speaks English well (ages 5 and over)	ACS	numeric	1711	1684	TRUE	0.005260081823495	1711	0	0	1661	0.970777323202805	"""0""; ""1.08""; ""2.701"""	0.003506721215663	6d8881bde56cf7a6df2b2520bdf82324	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_ENGL_NOT_WELL	1. Social context	1. Demographics – population distribution	Percentage of population that does not speak English well (ages 5 and over)	ACS	numeric	1711	1668	TRUE	0.011104617182934	1711	0	0	1642	0.959672706019871	"""0""; ""9.82""; ""0.464"""	0.01052016364699	f494cc8118a8507e17baf9ba92b84327	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_ENGL_NOT_ALL	1. Social context	1. Demographics – population distribution	Percentage of population that does not speak English at all (ages 5 and over)	ACS	numeric	1711	1525	TRUE	0.056107539450614	1711	0	0	1440	0.841613091759205	"""0""; ""0.126""; ""0.638"""	0.056107539450614	2a9a3c5b18bf6ae69c139b4ee45982c5	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		TRUE			TRUE	TRUE											TRUE						
ACS_PCT_ENGLISH	1. Social context	1. Demographics – population distribution	Percentage of population that only speaks English (ages 5 and over)	ACS	numeric	1711	1711	TRUE	0.001753360607832	1711	0	0	1711	1	"""99.433""; ""114.303""; ""143.273"""	0.000584453535944	6622f97f0fe45f8caf6608afbdb2efd3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_SPANISH	1. Social context	1. Demographics – population distribution	Percentage of population that speaks Spanish (ages 5 and over)	ACS	numeric	1711	1701	TRUE	0.002922267679719	1711	0	0	1692	0.988895382817066	"""0""; ""6.36""; ""7.641"""	0.001753360607832	ac2f000d4e1bcbbba732ed9697f40dc7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_OTH_EURP	1. Social context	1. Demographics – population distribution	Percentage of population who speak other Indo-European languages (ages 5 and over)	ACS	numeric	1711	1696	TRUE	0.002922267679719	1711	0	0	1682	0.983050847457627	"""0""; ""5.184""; ""6.916"""	0.001753360607832	1bdd5aa9d154ce2149339149e57a4393	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_API_LANG	1. Social context	1. Demographics – population distribution	Percentage of population that  speaks Asian and Pacific Island languages (ages 5 and over)	ACS	numeric	1711	1652	TRUE	0.015780245470485	1711	0	0	1616	0.94447691408533	"""0""; ""6.114""; ""0.506"""	0.014026884862653	f59e3dd4f930c488989cfb4b508f979f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_OTH_LANG	1. Social context	1. Demographics – population distribution	Percentage of population who speak other languages (ages 5 and over)	ACS	numeric	1711	1566	TRUE	0.03156049094097	1711	0	0	1477	0.863237872589129	"""0""; ""0.556""; ""0.599"""	0.030391583869082	05e848fd11f52c1034fce938ee4c043d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE											TRUE						
ACS_PCT_FEMALE	1. Social context	1. Demographics – population distribution	Percentage of population that is female	ACS	numeric	1711	1711	TRUE	0	1711	0	0	1711	1	"""84.254""; ""90.904""; ""94.192"""	0.000584453535944	755d099ba681d208c570a24bac5b4b98	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE											TRUE						
ACS_PCT_UNEMPLOY	2. Economic context	7. Workforce / Employment	Percentage of population that was unemployed (ages 16 years and over)	ACS	numeric	1711	1706	TRUE	0.000584453535944	1711	0	0	1701	0.994155464640561	"""27.127""; ""37.708""; ""84.836"""	0.001168907071888	153e4b2f75b2ce6ceed997806ce88171	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE									TRUE	TRUE		TRUE					
ACS_PCT_ARMED_FORCES	2. Economic context	7. Workforce / Employment	Percentage of civilian population in armed forces (ages 16 years and over)	ACS	numeric	1711	1411	TRUE	0.072472238457043	1711	0	0	1254	0.732904734073641	"""0""; ""0.578""; ""0.1"""	0.071303331385155	aac8b4f087a02eeb7bdc930f14f8d322	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE												TRUE					
ACS_PCT_PERSON_INC99	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio: <1.00	ACS	numeric	1711	1709	TRUE	0.001168907071888	1711	0	0	1707	0.997662185856225	"""90.567""; ""159.423""; ""4.643"""	0.001168907071888	e5609885f76fc92fff053187ad1a00d7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										TRUE		TRUE					
ACS_PCT_PERSON_INC124	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio: 1.00-1.24	ACS	numeric	1711	1702	TRUE	0.002337814143776	1711	0	0	1693	0.98947983635301	"""18.282""; ""20.149""; ""35.243"""	0.001168907071888	ce7c7776cfa7d509a66826aeedc0c82d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										TRUE		TRUE					
ACS_PCT_INC137	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio of 1.00–1.37	ACS	numeric	1711	1711	TRUE	0.001753360607832	1711	0	0	1711	1	"""17.951""; ""21.947""; ""25.106"""	0.000584453535944	671af06ca07eb6c6c0ba369240d7f0ac	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE					TRUE	TRUE										TRUE		TRUE					
ACS_MEDIAN_HH_INCOME	2. Economic context	9. Income	Median household income (in dollars, inflation-adjusted to file data year)	ACS	numeric	1711	1709	TRUE	0.882524839275278	1711	0	0	1707	0.997662185856225	"""282196""; ""655765""; ""63475"""	0.001168907071888	ba25be3d20951458aeb161fc2519d78f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE					TRUE					FALSE	TRUE					TRUE		TRUE					
ACS_PER_CAPITA_INCOME	2. Economic context	9. Income	Per capita income (in dollars, inflation-adjusted to file data year)	ACS	numeric	1711	1708	TRUE	0.885447106954997	1711	0	0	1705	0.996493278784337	"""111808""; ""193803""; ""428265"""	0.001168907071888	1f2275d841f0337c97f0ae4d3c533169	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE								TRUE					TRUE					
ACS_GINI_INDEX	2. Economic context	9. Income	Gini index of income inequality	ACS	numeric	1711	1699	TRUE	0	1711	0	0	1687	0.985973115137346	"""1.8078""; ""2.1574""; ""2.2738"""	0.001168907071888	804e82bb963d0727c1f74b657b708d6e	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		TRUE			TRUE											TRUE		TRUE					
ACS_PCT_PERSON_INC199	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio: 1.25-1.99	ACS	numeric	1711	1707	TRUE	0.001168907071888	1711	0	0	1703	0.995324371712449	"""137.207""; ""179.111""; ""350.554"""	0.001168907071888	d946e36f2b6343419d394a0f0493ce5d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										TRUE		TRUE					
ACS_PCT_PERSON_INC200	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio: 2.00 or higher	ACS	numeric	1711	1709	TRUE	0.001168907071888	1711	0	0	1707	0.997662185856225	"""545.931""; ""1876.388""; ""84.618"""	0.001168907071888	e7e61f323200abf82b1bc5c9d9239b2d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										TRUE		TRUE					
ACS_PCT_INC400	2. Economic context	8. Poverty	Percentage of population with income to poverty ratio of 4.00 or higher	ACS	numeric	1711	1709	TRUE	0	1711	0	0	1707	0.997662185856225	"""197.14""; ""309.354""; ""25.968"""	0.001168907071888	d7f5a6281c0b27ebec23df45e1abd335	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										TRUE		TRUE					
ACS_PCT_FOOD_STAMP	2. Economic context	9. Income	Percentage of households that received food stamps/SNAP, past 12 months	ACS	numeric	1711	1707	TRUE	0.000584453535944	1711	0	0	1703	0.995324371712449	"""99.435""; ""122.362""; ""143.848"""	0.001168907071888	484c4c93d0baa23a326c3731c01a3996	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE												TRUE					
