CN,ZCTA
R0031,04021
R0031,04024
R0031,04029
R0031,04030
R0031,04038
R0031,04039
R0031,04041
R0031,04042
R0031,04043
R0031,04046
R0031,04047
R0031,04048
R0031,04049
R0031,04056
R0031,04061
R0031,04062
R0031,04063
R0031,04064
R0031,04068
R0031,04071
R0031,04072
R0031,04073
R0031,04074
R0031,04076
R0031,04083
R0031,04084
R0031,04085
R0031,04087
R0031,04091
R0031,04092
R0031,04093
R0031,04095
R0031,04096
R0031,04097
R0031,04101
R0031,04102
R0031,04103
R0031,04105
R0031,04106
R0031,04107
R0031,04108
R0031,04109
R0031,04110
R0032,04003
R0032,04008
R0032,04011
R0032,04017
R0032,04019
R0032,04032
R0032,04050
R0032,04066
R0032,04069
R0032,04079
R0032,04086
R0032,04222
R0032,04287
R0032,04342
R0032,04357
R0032,04530
R0032,04548
R0032,04562
R0032,04579
R0033,04009
R0033,04010
R0033,04022
R0033,04037
R0033,04040
R0033,04051
R0033,04055
R0033,04057
R0033,04088
R0033,04210
R0033,04216
R0033,04217
R0033,04219
R0033,04220
R0033,04221
R0033,04224
R0033,04226
R0033,04227
R0033,04228
R0033,04231
R0033,04234
R0033,04236
R0033,04237
R0033,04238
R0033,04239
R0033,04240
R0033,04250
R0033,04252
R0033,04253
R0033,04254
R0033,04255
R0033,04256
R0033,04257
R0033,04258
R0033,04259
R0033,04260
R0033,04263
R0033,04267
R0033,04268
R0033,04270
R0033,04271
R0033,04274
R0033,04275
R0033,04276
R0033,04280
R0033,04281
R0033,04282
R0033,04284
R0033,04285
R0033,04286
R0033,04289
R0033,04290
R0033,04292
R0033,04294
R0033,04349
R0033,04350
R0033,04352
R0033,04360
R0033,04936
R0033,04938
R0033,04940
R0033,04947
R0033,04955
R0033,04956
R0033,04961
R0033,04964
R0033,04966
R0033,04970
R0033,04982
R0033,04983
R0033,04984
R0033,04992
R0034,04265
R0034,04330
R0034,04343
R0034,04344
R0034,04345
R0034,04346
R0034,04347
R0034,04351
R0034,04353
R0034,04354
R0034,04355
R0034,04358
R0034,04359
R0034,04363
R0034,04364
R0034,04901
R0034,04910
R0034,04911
R0034,04912
R0034,04917
R0034,04918
R0034,04920
R0034,04922
R0034,04924
R0034,04925
R0034,04926
R0034,04927
R0034,04937
R0034,04942
R0034,04944
R0034,04950
R0034,04957
R0034,04958
R0034,04962
R0034,04963
R0034,04975
R0034,04976
R0034,04978
R0034,04979
R0034,04985
R0034,04989
R0035,04348
R0035,04535
R0035,04537
R0035,04538
R0035,04539
R0035,04541
R0035,04543
R0035,04544
R0035,04551
R0035,04553
R0035,04554
R0035,04555
R0035,04556
R0035,04558
R0035,04564
R0035,04568
R0035,04570
R0035,04571
R0035,04573
R0035,04575
R0035,04576
R0035,04578
R0036,04401
R0036,04410
R0036,04411
R0036,04412
R0036,04416
R0036,04419
R0036,04422
R0036,04427
R0036,04428
R0036,04429
R0036,04431
R0036,04434
R0036,04435
R0036,04444
R0036,04449
R0036,04450
R0036,04453
R0036,04456
R0036,04461
R0036,04468
R0036,04469
R0036,04472
R0036,04473
R0036,04474
R0036,04475
R0036,04488
R0036,04489
R0036,04496
R0036,04928
R0036,04929
R0036,04932
R0036,04933
R0036,04943
R0036,04953
R0036,04965
R0036,04967
R0036,04969
R0036,04971
R0037,04406
R0037,04414
R0037,04415
R0037,04417
R0037,04426
R0037,04430
R0037,04441
R0037,04442
R0037,04443
R0037,04448
R0037,04451
R0037,04455
R0037,04457
R0037,04459
R0037,04460
R0037,04462
R0037,04463
R0037,04464
R0037,04478
R0037,04479
R0037,04481
R0037,04485
R0037,04487
R0037,04493
R0037,04495
R0037,04733
R0037,04923
R0037,04930
R0037,04939
R0037,04945
R0038,04421
R0038,04476
R0038,04614
R0038,04616
R0038,04617
R0038,04627
R0038,04629
R0038,04642
R0038,04645
R0038,04650
R0038,04673
R0038,04676
R0038,04681
R0038,04683
R0038,04684
R0039,04413
R0039,04424
R0039,04454
R0039,04471
R0039,04491
R0039,04497
R0039,04730
R0039,04732
R0039,04734
R0039,04735
R0039,04736
R0039,04739
R0039,04740
R0039,04741
R0039,04742
R0039,04743
R0039,04745
R0039,04746
R0039,04747
R0039,04750
R0039,04756
R0039,04757
R0039,04758
R0039,04760
R0039,04761
R0039,04762
R0039,04763
R0039,04764
R0039,04765
R0039,04766
R0039,04768
R0039,04769
R0039,04772
R0039,04773
R0039,04774
R0039,04776
R0039,04777
R0039,04779
R0039,04780
R0039,04781
R0039,04783
R0039,04785
R0039,04786
R0039,04787
R0040,04438
R0040,04849
R0040,04915
R0040,04921
R0040,04941
R0040,04949
R0040,04951
R0040,04952
R0040,04973
R0040,04974
R0040,04981
R0040,04986
R0040,04987
R0040,04988
R0041,04547
R0041,04563
R0041,04572
R0041,04574
R0041,04841
R0041,04843
R0041,04847
R0041,04848
R0041,04851
R0041,04852
R0041,04853
R0041,04854
R0041,04855
R0041,04856
R0041,04858
R0041,04859
R0041,04860
R0041,04861
R0041,04862
R0041,04863
R0041,04864
R0042,04408
R0042,04418
R0042,04605
R0042,04606
R0042,04607
R0042,04609
R0042,04611
R0042,04612
R0042,04613
R0042,04622
R0042,04623
R0042,04624
R0042,04625
R0042,04626
R0042,04628
R0042,04630
R0042,04634
R0042,04635
R0042,04640
R0042,04643
R0042,04644
R0042,04646
R0042,04648
R0042,04649
R0042,04652
R0042,04653
R0042,04654
R0042,04655
R0042,04658
R0042,04660
R0042,04662
R0042,04664
R0042,04666
R0042,04669
R0042,04674
R0042,04675
R0042,04677
R0042,04679
R0042,04680
R0042,04685
R0042,04686
R0042,04691
R0042,04693
R0043,04490
R0043,04492
R0043,04619
R0043,04631
R0043,04637
R0043,04657
R0043,04667
R0043,04668
R0043,04671
R0043,04694
R0044,05042
R0044,05046
R0044,05050
R0044,05681
R0044,05819
R0044,05821
R0044,05824
R0044,05828
R0044,05832
R0044,05836
R0044,05837
R0044,05841
R0044,05842
R0044,05843
R0044,05850
R0044,05851
R0044,05866
R0044,05867
R0044,05871
R0044,05873
R0045,05201
R0045,05250
R0045,05252
R0045,05254
R0045,05255
R0045,05257
R0045,05260
R0045,05261
R0045,05262
R0045,05350
R0045,05356
R0045,05360
R0045,05361
R0045,05363
R0045,05776
R0046,05251
R0046,05253
R0046,05701
R0046,05730
R0046,05732
R0046,05733
R0046,05735
R0046,05736
R0046,05737
R0046,05738
R0046,05739
R0046,05742
R0046,05743
R0046,05744
R0046,05748
R0046,05757
R0046,05759
R0046,05761
R0046,05763
R0046,05764
R0046,05765
R0046,05773
R0046,05774
R0046,05775
R0046,05777
R0048,05401
R0048,05403
R0048,05404
R0048,05405
R0048,05408
R0048,05439
R0048,05440
R0048,05445
R0048,05446
R0048,05452
R0048,05458
R0048,05461
R0048,05463
R0048,05465
R0048,05468
R0048,05474
R0048,05477
R0048,05482
R0048,05486
R0048,05489
R0048,05494
R0048,05495
R0049,05443
R0049,05456
R0049,05472
R0049,05473
R0049,05487
R0049,05491
R0049,05734
R0049,05740
R0049,05747
R0049,05753
R0049,05760
R0049,05766
R0049,05769
R0049,05770
R0049,05778
R0050,05441
R0050,05444
R0050,05447
R0050,05448
R0050,05450
R0050,05454
R0050,05455
R0050,05457
R0050,05459
R0050,05471
R0050,05476
R0050,05478
R0050,05481
R0050,05483
R0050,05485
R0050,05488
R0051,05442
R0051,05464
R0051,05492
R0051,05652
R0051,05653
R0051,05655
R0051,05656
R0051,05657
R0051,05661
R0051,05672
R0051,05680
R0052,05462
R0052,05602
R0052,05640
R0052,05641
R0052,05647
R0052,05648
R0052,05649
R0052,05650
R0052,05651
R0052,05654
R0052,05658
R0052,05660
R0052,05663
R0052,05664
R0052,05667
R0052,05669
R0052,05673
R0052,05674
R0052,05675
R0052,05676
R0052,05677
R0052,05678
R0052,05679
R0052,05682
R0052,05862
R0053,05820
R0053,05822
R0053,05825
R0053,05826
R0053,05827
R0053,05829
R0053,05830
R0053,05833
R0053,05839
R0053,05845
R0053,05846
R0053,05847
R0053,05853
R0053,05855
R0053,05857
R0053,05859
R0053,05860
R0053,05868
R0053,05872
R0053,05874
R0053,05875
R0053,05901
R0053,05903
R0053,05907
R0054,06001
R0054,06002
R0054,06016
R0054,06019
R0054,06020
R0054,06022
R0054,06023
R0054,06026
R0054,06027
R0054,06029
R0054,06032
R0054,06033
R0054,06035
R0054,06037
R0054,06040
R0054,06042
R0054,06043
R0054,06051
R0054,06052
R0054,06053
R0054,06060
R0054,06062
R0054,06066
R0054,06067
R0054,06070
R0054,06071
R0054,06073
R0054,06074
R0054,06076
R0054,06078
R0054,06081
R0054,06082
R0054,06084
R0054,06085
R0054,06088
R0054,06089
R0054,06090
R0054,06092
R0054,06093
R0054,06095
R0054,06096
R0054,06103
R0054,06105
R0054,06106
R0054,06107
R0054,06108
R0054,06109
R0054,06110
R0054,06111
R0054,06112
R0054,06114
R0054,06117
R0054,06118
R0054,06119
R0054,06120
R0054,06160
R0054,06226
R0054,06231
R0054,06232
R0054,06235
R0054,06237
R0054,06238
R0054,06247
R0054,06248
R0054,06249
R0054,06250
R0054,06256
R0054,06264
R0054,06266
R0054,06268
R0054,06269
R0054,06278
R0054,06279
R0054,06280
R0054,06410
R0054,06444
R0054,06447
R0054,06450
R0054,06451
R0054,06467
R0054,06479
R0054,06488
R0054,06489
R0054,06492
R0054,06702
R0054,06704
R0054,06705
R0054,06706
R0054,06708
R0054,06710
R0054,06712
R0054,06716
R0054,06751
R0054,06758
R0054,06762
R0054,06770
R0054,06779
R0054,06782
R0054,06787
R0054,06795
R0054,06798
R0055,06018
R0055,06021
R0055,06024
R0055,06031
R0055,06039
R0055,06057
R0055,06058
R0055,06059
R0055,06061
R0055,06063
R0055,06065
R0055,06068
R0055,06069
R0055,06091
R0055,06098
R0055,06750
R0055,06756
R0055,06759
R0055,06763
R0055,06778
R0055,06790
R0055,06791
R0055,06796
R0056,06234
R0056,06239
R0056,06241
R0056,06242
R0056,06243
R0056,06255
R0056,06259
R0056,06260
R0056,06262
R0056,06263
R0056,06277
R0056,06281
R0056,06282
R0056,06331
R0056,06332
R0056,06354
R0056,06373
R0056,06374
R0056,06377
R0056,06387
R0057,06254
R0057,06320
R0057,06330
R0057,06333
R0057,06334
R0057,06335
R0057,06336
R0057,06339
R0057,06340
R0057,06350
R0057,06351
R0057,06353
R0057,06355
R0057,06357
R0057,06359
R0057,06360
R0057,06365
R0057,06370
R0057,06371
R0057,06375
R0057,06376
R0057,06378
R0057,06379
R0057,06380
R0057,06382
R0057,06384
R0057,06385
R0057,06389
R0057,06390
R0057,06415
R0057,06420
R0058,06409
R0058,06412
R0058,06414
R0058,06416
R0058,06417
R0058,06422
R0058,06423
R0058,06424
R0058,06426
R0058,06438
R0058,06441
R0058,06442
R0058,06455
R0058,06456
R0058,06457
R0058,06469
R0058,06480
R0058,06481
R0059,06470
R0059,06482
R0059,06752
R0059,06754
R0059,06755
R0059,06757
R0059,06776
R0059,06777
R0059,06783
R0059,06784
R0059,06785
R0059,06793
R0059,06794
R0059,06801
R0059,06804
R0059,06810
R0059,06811
R0059,06812
R0059,06877
R0059,06896
R0060,02535
R0060,02539
R0060,02554
R0060,02557
R0060,02564
R0060,02568
R0060,02575
R0060,02584
R0061,03601
R0061,03603
R0061,03605
R0061,03607
R0061,03743
R0062,03222
R0062,03226
R0062,03231
R0062,03235
R0062,03243
R0062,03253
R0062,03254
R0062,03256
R0062,03268
R0062,03269
R0062,03276
R0063,06010
R0063,06013
R0063,06786
B0001,07001
B0001,07003
B0001,07004
B0001,07006
B0001,07008
B0001,07009
B0001,07017
B0001,07018
B0001,07021
B0001,07028
B0001,07036
B0001,07039
B0001,07040
B0001,07041
B0001,07042
B0001,07043
B0001,07044
B0001,07050
B0001,07052
B0001,07060
B0001,07062
B0001,07063
B0001,07064
B0001,07065
B0001,07066
B0001,07067
B0001,07068
B0001,07077
B0001,07078
B0001,07079
B0001,07080
B0001,07088
B0001,07095
B0001,07102
B0001,07103
B0001,07104
B0001,07105
B0001,07106
B0001,07107
B0001,07108
B0001,07109
B0001,07110
B0001,07111
B0001,07112
B0001,07114
B0001,07201
B0001,07202
B0001,07203
B0001,07206
B0001,07208
B0001,07722
B0001,07726
B0001,07728
B0001,07746
B0001,07747
B0001,07751
B0001,08501
B0001,08510
B0001,08535
B0001,08555
B0001,08805
B0001,08807
B0001,08812
B0001,08816
B0001,08817
B0001,08820
B0001,08821
B0001,08823
B0001,08828
B0001,08830
B0001,08832
B0001,08835
B0001,08836
B0001,08837
B0001,08840
B0001,08844
B0001,08846
B0001,08850
B0001,08853
B0001,08854
B0001,08857
B0001,08859
B0001,08861
B0001,08863
B0001,08869
B0001,08872
B0001,08873
B0001,08876
B0001,08879
B0001,08880
B0001,08882
B0001,08884
B0001,08890
B0001,08901
B0001,08902
B0001,08904
B0002,07002
B0002,07010
B0002,07011
B0002,07012
B0002,07013
B0002,07014
B0002,07020
B0002,07022
B0002,07024
B0002,07026
B0002,07029
B0002,07030
B0002,07031
B0002,07032
B0002,07035
B0002,07047
B0002,07055
B0002,07057
B0002,07070
B0002,07071
B0002,07072
B0002,07073
B0002,07074
B0002,07075
B0002,07086
B0002,07087
B0002,07093
B0002,07094
B0002,07302
B0002,07304
B0002,07305
B0002,07306
B0002,07307
B0002,07310
B0002,07311
B0002,07401
B0002,07403
B0002,07405
B0002,07407
B0002,07410
B0002,07417
B0002,07420
B0002,07421
B0002,07423
B0002,07424
B0002,07430
B0002,07432
B0002,07436
B0002,07440
B0002,07442
B0002,07444
B0002,07446
B0002,07450
B0002,07452
B0002,07456
B0002,07457
B0002,07458
B0002,07463
B0002,07465
B0002,07470
B0002,07480
B0002,07481
B0002,07495
B0002,07501
B0002,07502
B0002,07503
B0002,07504
